threshold,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.1,0.08231190832087693,0.9981873111782478,0.15208285385500575,55254,9,4956,1284
0.11,0.08285527922262548,0.9977844914400805,0.15300512693804436,54837,11,4954,1701
0.12,0.08344433391222243,0.9967774420946627,0.15399695055543455,54360,16,4949,2178
0.13,0.08410976170604166,0.9945619335347432,0.1551025536325659,53771,27,4938,2767
0.14,0.08488095648278951,0.9923464249748237,0.1563853930266144,53119,38,4927,3419
0.15,0.08581757216953947,0.9897280966767371,0.15794041076077525,52347,51,4914,4191
0.16,0.08690874935757704,0.9877139979859013,0.1597602293458431,51523,61,4904,5015
0.17,0.08808150018031013,0.9838872104733132,0.16168804302854778,50575,80,4885,5963
0.18,0.0894743610942696,0.9808660624370594,0.16398962858201166,49559,95,4870,6979
0.19,0.09097723226834067,0.9778449144008057,0.16646665523744214,48510,110,4855,8028
0.2,0.09246496668963933,0.972809667673716,0.16887816646562123,47406,135,4830,9132
0.21,0.09403046360205698,0.9685800604229607,0.1714194054323804,46334,156,4809,10204
0.22,0.09555706630408702,0.9625377643504531,0.17385452098150136,45233,186,4779,11305
0.23,0.09750199799176212,0.9583081570996979,0.17699575924410385,44041,207,4758,12497
0.24,0.09936583931796229,0.9530715005035246,0.17996843326297374,42890,233,4732,13648
0.25,0.10104529616724739,0.9462235649546827,0.18259196641986825,41796,267,4698,14742
0.26,0.1028367229893678,0.9389728096676737,0.18537147855822184,40672,303,4662,15866
0.27,0.10486865942028986,0.9327291037260825,0.18853944020356234,39529,334,4631,17009
0.28,0.10704153295195572,0.9270896273917422,0.19192361415139575,38399,362,4603,18139
0.29,0.10895080872179017,0.9198388721047331,0.1948254164622571,37351,398,4567,19187
0.3,0.1108298724596368,0.9083585095669687,0.1975557405054974,36183,455,4510,20355
0.31,0.11269135552973274,0.8984894259818731,0.20026486498619558,35125,504,4461,21413
0.32,0.11475282008629203,0.8892245720040282,0.20327355602108704,34059,550,4415,22479
0.33,0.11691475690726065,0.8795568982880161,0.20639459318949832,32985,598,4367,23553
0.34,0.11973153620946804,0.8731117824773413,0.21058512059459328,31871,630,4335,24667
0.35,0.1226757304847048,0.865055387713998,0.21487892735641384,30716,670,4295,25822
0.36,0.12488583802256724,0.8537764350453172,0.21789863267194406,29704,726,4239,26834
0.37,0.1277439024390244,0.8439073514602216,0.2218985833443665,28610,775,4190,27928
0.38,0.13058983179221764,0.8334340382678751,0.22579941067336026,27549,827,4138,28989
0.39,0.1336510838338992,0.8245720040281974,0.23001938365592606,26538,871,4094,30000
